id,activity,type,participants,price,accessibility,link
2,Walk,sport,2,0.0,0.1,http://link
3,Code,work,1,0.0,0.2,
3920096,Volunteer and help out at a senior center,charity,1,0.0,,
9364041,Create or update your resume,busywork,1,0.0,,
8033599,Draw something interesting,recreational,1,0.0,,
6825484,Start a family tree,social,1,0.0,,https://en.wikipedia.org/wiki/Family_tree
4894697,Pick up litter around your favorite park,charity,1,0.0,,
6204657,Surprise your significant other with something considerate,social,1,0.0,,
5534113,Play a video game,recreational,1,0.0,,
4940907,Match your storage containers with their lids,busywork,1,0.0,,
4101229,Write a thank you letter to an influential person in your life,social,1,0.0,,
6098037,Organize a bookshelf,busywork,1,0.0,,
9660022,Learn and play a new card game,recreational,1,0.0,,https://www.pagat.com
9303608,Learn about a distributed version control system such as Git,education,1,0.0,,https://en.wikipedia.org/wiki/Distributed_version_control
5188388,Write a song,music,1,0.0,,
6706598,Learn the NATO phonetic alphabet,education,1,0.0,,https://en.wikipedia.org/wiki/NATO_phonetic_alphabet
2896176,Clean out your car,busywork,1,0.0,,
4286250,Go for a walk,relaxation,1,0.0,,
2300257,Hold a video game tournament with some friends,social,4,0.0,,
8779876,Start a daily journal,relaxation,1,0.0,,
9318514,Take your dog on a walk,relaxation,1,0.0,,
8926492,Learn how to french braid hair,education,1,0.0,,
9324336,Clean out your refrigerator,busywork,1,0.0,,
9999999,Resolve a problem you've been putting off,busywork,1,0.0,,
6197243,Rearrange and organize your room,busywork,1,0.0,,
1432113,Hold a yard sale,social,1,0.0,,
2167064,Learn GraphQL,education,1,0.0,,https://graphql.org/
8631548,Create a compost pile,diy,1,0.0,,
3954882,Organize your pantry,busywork,1,0.0,,
7265395,Plan a vacation you've always wanted to take,relaxation,1,0.0,,
1770521,Write a note of appreciation to someone,social,1,0.0,,
3561421,Research a topic you're interested in,education,1,0.0,,
3469378,Learn Javascript,education,1,0.0,,
1947449,Create a cookbook with your favorite recipes,cooking,1,0.0,,
6826029,Start a webinar on a topic of your choice,education,1,0.0,,
3491470,Create a meal plan for the coming week,cooking,1,0.0,,
6301585,Write a short story,recreational,1,0.0,,
6378359,Organize your movie collection,busywork,1,0.0,,
3646173,Learn Morse code,education,1,0.0,,https://en.wikipedia.org/wiki/Morse_code
7154873,Watch a Khan Academy lecture on a subject of your choosing,education,1,0.0,,https://www.khanacademy.org/
6184514,Take a nap,relaxation,1,0.0,,
8321894,Do something nice for someone you care about,social,1,0.0,,
4179309,Memorize the fifty states and their capitals,education,1,0.0,,
8683473,Play basketball with a group of friends,social,5,0.0,,
9149470,Compliment someone,social,2,0.0,,
7806284,Fill out a basketball bracket,recreational,1,0.0,,
6852505,Go for a run,recreational,1,0.0,,
4708863,Listen to a new music genre,music,1,0.0,,
2526437,Improve your touch typing,busywork,1,0.0,,https://en.wikipedia.org/wiki/Touch_typing
3621244,Learn the periodic table,education,1,0.0,,https://en.wikipedia.org/wiki/Periodic_table
2850593,Uninstall unused apps from your devices,busywork,1,0.0,,
4306710,Play a volleyball match with some friends,social,4,0.0,,
1592381,Learn how to make an Alexa skill,education,1,0.0,,https://developer.amazon.com/en-US/docs/alexa/custom-skills/steps-to-build-a-custom-skill.html
3141417,Create a personal website,recreational,1,0.1,Minor challenges,
1799120,Cook something together with someone,cooking,2,0.3,Few to no challenges,
5585829,Go to an escape room,social,4,0.5,Minor challenges,
8688620,Write a poem,recreational,1,0.0,Few to no challenges,
4877086,Repaint a room in your house,recreational,1,0.3,Minor challenges,
2237769,Explore the nightlife of your city,social,1,0.1,Minor challenges,
3141592,Bake a pie with some friends,cooking,3,0.3,Few to no challenges,
2211716,Go to a concert with local artists with some friends,social,3,0.4,Minor challenges,
6778219,Learn how to write in shorthand,education,1,0.0,Minor challenges,
8503795,Go to a local thrift shop,recreational,1,0.1,Few to no challenges,
5920481,Make a to-do list for your week,busywork,1,0.0,Few to no challenges,
2565076,Look at pictures and videos of cute animals,relaxation,1,0.0,Few to no challenges,
4565537,Learn calligraphy,education,1,0.1,Minor challenges,
1645485,Learn to write with your nondominant hand,recreational,1,0.0,Few to no challenges,
3943506,Learn Express.js,education,1,0.1,Few to no challenges,https://expressjs.com/
1638604,Have a football scrimmage with some friends,social,8,0.0,Major challenges,
5808228,Learn how to play a new sport,recreational,1,0.1,Minor challenges,
1572120,Configure two-factor authentication on your accounts,busywork,1,0.0,Few to no challenges,https://en.wikipedia.org/wiki/Multi-factor_authentication
4124860,Listen to a new podcast,relaxation,1,0.05,Few to no challenges,
4387026,Go to the gym,recreational,1,0.2,Minor challenges,
1129748,Make your own LEGO creation,recreational,1,0.0,Few to no challenges,
